School,Role,Username,Password
Platform,Owner,platform_owner,PlatformOwner123!
Green Valley High School,Admin,green-valley_admin,Admin123!
Green Valley High School,Principal,green-valley_principal,Principal123!
Green Valley High School,Teacher,green-valley_teacher_0,Teacher123!
Green Valley High School,Teacher,green-valley_teacher_1,Teacher123!
Green Valley High School,Teacher,green-valley_teacher_2,Teacher123!
Green Valley High School,Teacher,green-valley_teacher_3,Teacher123!
Green Valley High School,Teacher,green-valley_teacher_4,Teacher123!
Green Valley High School,Student,green-valley_student_0,Student123!
Green Valley High School,Student,green-valley_student_1,Student123!
Green Valley High School,Student,green-valley_student_2,Student123!
Green Valley High School,Student,green-valley_student_3,Student123!
Green Valley High School,Student,green-valley_student_4,Student123!
Green Valley High School,Student,green-valley_student_5,Student123!
Green Valley High School,Student,green-valley_student_6,Student123!
Green Valley High School,Student,green-valley_student_7,Student123!
Green Valley High School,Student,green-valley_student_8,Student123!
Green Valley High School,Student,green-valley_student_9,Student123!
Green Valley High School,Parent,green-valley_parent_0,Parent123!
Green Valley High School,Parent,green-valley_parent_1,Parent123!
Green Valley High School,Parent,green-valley_parent_2,Parent123!
Green Valley High School,Parent,green-valley_parent_3,Parent123!
Green Valley High School,Parent,green-valley_parent_4,Parent123!
Green Valley High School,Parent,green-valley_parent_5,Parent123!
Green Valley High School,Parent,green-valley_parent_6,Parent123!
Green Valley High School,Parent,green-valley_parent_7,Parent123!
Green Valley High School,Parent,green-valley_parent_8,Parent123!
Green Valley High School,Parent,green-valley_parent_9,Parent123!
Blue Mountain Academy,Admin,blue-mountain_admin,Admin123!
Blue Mountain Academy,Principal,blue-mountain_principal,Principal123!
Blue Mountain Academy,Teacher,blue-mountain_teacher_0,Teacher123!
Blue Mountain Academy,Teacher,blue-mountain_teacher_1,Teacher123!
Blue Mountain Academy,Teacher,blue-mountain_teacher_2,Teacher123!
Blue Mountain Academy,Teacher,blue-mountain_teacher_3,Teacher123!
Blue Mountain Academy,Teacher,blue-mountain_teacher_4,Teacher123!
Blue Mountain Academy,Student,blue-mountain_student_0,Student123!
Blue Mountain Academy,Student,blue-mountain_student_1,Student123!
Blue Mountain Academy,Student,blue-mountain_student_2,Student123!
Blue Mountain Academy,Student,blue-mountain_student_3,Student123!
Blue Mountain Academy,Student,blue-mountain_student_4,Student123!
Blue Mountain Academy,Student,blue-mountain_student_5,Student123!
Blue Mountain Academy,Student,blue-mountain_student_6,Student123!
Blue Mountain Academy,Student,blue-mountain_student_7,Student123!
Blue Mountain Academy,Student,blue-mountain_student_8,Student123!
Blue Mountain Academy,Student,blue-mountain_student_9,Student123!
Blue Mountain Academy,Parent,blue-mountain_parent_0,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_1,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_2,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_3,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_4,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_5,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_6,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_7,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_8,Parent123!
Blue Mountain Academy,Parent,blue-mountain_parent_9,Parent123!
