LEARNSPHERE GENERATED CREDENTIALS
========================================================================================================================

Platform                       | Owner      | platform_owner                           | PlatformOwner123!
Green Valley High School       | Teacher    | green-valley_teacher_0                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_1                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_2                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_3                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_4                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_5                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_6                   | Teacher123!
Green Valley High School       | Teacher    | green-valley_teacher_7                   | Teacher123!
Green Valley High School       | Student    | green-valley_student_0                   | Student123!
Green Valley High School       | Student    | green-valley_student_1                   | Student123!
Green Valley High School       | Student    | green-valley_student_2                   | Student123!
Green Valley High School       | Student    | green-valley_student_3                   | Student123!
Green Valley High School       | Student    | green-valley_student_4                   | Student123!
Green Valley High School       | Student    | green-valley_student_5                   | Student123!
Green Valley High School       | Student    | green-valley_student_6                   | Student123!
Green Valley High School       | Student    | green-valley_student_7                   | Student123!
Green Valley High School       | Student    | green-valley_student_8                   | Student123!
Green Valley High School       | Student    | green-valley_student_9                   | Student123!
Green Valley High School       | Student    | green-valley_student_10                  | Student123!
Green Valley High School       | Student    | green-valley_student_11                  | Student123!
Green Valley High School       | Student    | green-valley_student_12                  | Student123!
Green Valley High School       | Student    | green-valley_student_13                  | Student123!
Green Valley High School       | Student    | green-valley_student_14                  | Student123!
Green Valley High School       | Student    | green-valley_student_15                  | Student123!
Green Valley High School       | Student    | green-valley_student_16                  | Student123!
Green Valley High School       | Student    | green-valley_student_17                  | Student123!
Green Valley High School       | Student    | green-valley_student_18                  | Student123!
Green Valley High School       | Student    | green-valley_student_19                  | Student123!
Green Valley High School       | Student    | green-valley_student_20                  | Student123!
Green Valley High School       | Student    | green-valley_student_21                  | Student123!
Green Valley High School       | Student    | green-valley_student_22                  | Student123!
Green Valley High School       | Student    | green-valley_student_23                  | Student123!
Green Valley High School       | Student    | green-valley_student_24                  | Student123!
Green Valley High School       | Student    | green-valley_student_25                  | Student123!
Green Valley High School       | Student    | green-valley_student_26                  | Student123!
Green Valley High School       | Student    | green-valley_student_27                  | Student123!
Green Valley High School       | Student    | green-valley_student_28                  | Student123!
Green Valley High School       | Student    | green-valley_student_29                  | Student123!
Green Valley High School       | Parent     | green-valley_parent_0                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_1                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_2                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_3                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_4                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_5                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_6                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_7                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_8                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_9                    | Parent123!
Green Valley High School       | Parent     | green-valley_parent_10                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_11                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_12                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_13                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_14                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_15                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_16                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_17                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_18                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_19                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_20                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_21                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_22                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_23                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_24                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_25                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_26                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_27                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_28                   | Parent123!
Green Valley High School       | Parent     | green-valley_parent_29                   | Parent123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_0                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_1                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_2                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_3                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_4                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_5                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_6                  | Teacher123!
Blue Mountain Academy          | Teacher    | blue-mountain_teacher_7                  | Teacher123!
Blue Mountain Academy          | Student    | blue-mountain_student_0                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_1                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_2                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_3                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_4                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_5                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_6                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_7                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_8                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_9                  | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_10                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_11                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_12                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_13                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_14                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_15                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_16                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_17                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_18                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_19                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_20                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_21                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_22                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_23                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_24                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_25                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_26                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_27                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_28                 | Student123!
Blue Mountain Academy          | Student    | blue-mountain_student_29                 | Student123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_0                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_1                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_2                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_3                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_4                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_5                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_6                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_7                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_8                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_9                   | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_10                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_11                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_12                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_13                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_14                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_15                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_16                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_17                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_18                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_19                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_20                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_21                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_22                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_23                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_24                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_25                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_26                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_27                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_28                  | Parent123!
Blue Mountain Academy          | Parent     | blue-mountain_parent_29                  | Parent123!
